Date,Day,High Temp,Low Temp,Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total,,Total/day of week avg,,Average total:,
26-Sep,Monday,71.1,55,0,"3,575","7,159","8,006","5,283","24,023",,1.23870061,,,
27-Sep,Tuesday,73.9,64,0.22,"2,985","5,942","7,063","4,369","20,359",,0.979633277,,,
28-Sep,Wednesday,68,60.1,0,"3,150","6,225","7,363","4,883","21,621",,0.964264689,,,
29-Sep,Thursday,64,60.1,0,"2,188","4,728","5,649","3,828","16,393",,0.788834192,,,
30-Sep,Friday,59,57,0.4,756,"1,542","2,422","1,906","6,626",,0.368426717,,,
1-Oct,Saturday,62.1,57,0,"1,260","2,440","3,590","2,394","9,684",,0.645572233,,,
2-Oct,Sunday,63,57,0,"1,659","3,157","3,915","2,831","11,562",,0.842933341,,,
3-Oct,Monday,71.1,61,0,"3,079","5,729","6,918","4,446","20,172",,1.04013107,,,
4-Oct,Tuesday,68,60.1,0,"3,133","6,160","7,543","4,734","21,570",,1.037904111,,,
5-Oct,Wednesday,66,54,0,"3,410","6,906","8,020","5,097","23,433",,1.045077215,,,
6-Oct,Thursday,73,55.9,0,"3,580","6,957","8,897","5,160","24,594",,1.183467829,,,
7-Oct,Friday,73.9,57,0,"3,288","6,209","7,624","4,826","21,947",,1.220323144,,,
8-Oct,Saturday,68,59,0.23,"1,584","2,757","3,875","2,838","11,054",,0.736901639,,,
9-Oct,Sunday,57.9,51.1,0.55,621,"1,173","2,045","1,439","5,278",,0.384795206,,,
10-Oct,Monday,63,46.9,0,"2,838","5,205","6,054","3,763","17,860",,0.920917158,,,
11-Oct,Tuesday,63,46.9,0,"3,184","6,201","7,227","4,334","20,946",,1.007878512,,,
12-Oct,Wednesday,64,53.1,0,"2,879","6,040","7,189","4,367","20,475",,0.913154781,,,
13-Oct,Thursday,66.9,55,0,"3,079","6,171","7,144","4,379","20,773",,0.999600602,,,
14-Oct,Friday,61,48,0,"2,925","5,477","6,604","4,015","19,021",,1.057628219,,,
15-Oct,Saturday,64.9,46,0,"2,444","4,323","5,350","3,418","15,535",,1.035622124,,,
16-Oct,Sunday,69.1,54,0,"2,291","4,057","5,001","3,007","14,356",,1.046631296,,,
17-Oct,Monday,80.1,63,0,"3,465","6,719","7,731","4,662","22,577",,1.164140351,,,
18-Oct,Tuesday,81,66.9,0,"4,029","7,594","8,761","5,098","25,482",,1.226141518,,,
19-Oct,Wednesday,84,69.1,0,"3,966","7,447","8,582","5,625","25,620",,1.142614187,,,
20-Oct,Thursday,70,62.1,0,"2,869","5,588","7,089","4,857","20,403",,0.981796134,,,
21-Oct,Friday,69.1,66,1.11,"1,246","2,566","3,558","2,772","10,142",,0.563927522,,,
22-Oct,Saturday,50,46.9,0.29,544,"1,254","2,108","1,517","5,423",,0.361517784,,,
23-Oct,Sunday,61,46,0,"1,899","3,271","4,020","2,707","11,897",,0.867356682,,,
24-Oct,Monday,61,51.1,0,"3,041","5,470","6,357","4,030","18,898",,0.974439667,,,
25-Oct,Tuesday,51.1,46,0,"2,616","5,224","5,760","4,054","17,654",,0.849474231,,,
26-Oct,Wednesday,50,37.9,0,"2,520","4,909","5,649","3,870","16,948",,0.755855786,,,
27-Oct,Thursday,54,41,1.41,651,"1,558","2,137","1,902","6,248",,0.300654916,,,
28-Oct,Friday,46.9,44.1,0,"2,021","3,872","4,271","3,202","13,366",,0.743192197,,,
29-Oct,Saturday,63,39,0,"1,639","3,160","4,027","2,920","11,746",,0.783032988,,,
30-Oct,Sunday,75,57.9,0.56,"1,702","2,971","3,531","2,547","10,751",,0.783806984,,,
31-Oct,Monday,54,44,0,"2,648","4,876","5,440","3,720","16,684",,0.86027894,,,
